"Dataset ID","Dataset's Metis page","Dataset size","Provider","Data provider","Record ID","Last record index","Record edm:type","Record content tier","Record metadata tier","Link type","Link","Link server","Time of checking","Error"
"9200145","https://metis.europeana.eu/dataset/edit/9200145","197","The European Library",,"/9200145/manus_judsam_2009_sep_dsh_object32168","2016-10-28T15:53:06.788+02:00","TEXT","1","0","edm:isShownAt","http://www.kb.dk/manus/judsam/2009/sep/dsh/object32168/en/","http://www.kb.dk/","2023-11-02T14:12:12.202+01:00","Problem while processing http://www.kb.dk/manus/judsam/2009/sep/dsh/object32168/en/
  caused by:
Maximum redirects (3) exceeded
  caused by:
Maximum redirects (3) exceeded"
"9200145","https://metis.europeana.eu/dataset/edit/9200145","197","The European Library",,"/9200145/manus_judsam_2009_sep_dsh_object81956","2016-10-28T15:53:07.899+02:00","TEXT","1","0","edm:isShownAt","http://www.kb.dk/manus/judsam/2009/sep/dsh/object81956/en/","http://www.kb.dk/","2023-11-02T14:12:00.983+01:00","Problem while processing http://www.kb.dk/manus/judsam/2009/sep/dsh/object81956/en/
  caused by:
Maximum redirects (3) exceeded
  caused by:
Maximum redirects (3) exceeded"
"9200151","https://metis.europeana.eu/dataset/edit/9200151","424","The European Library",,"/9200151/CD7E40E9FB8A5D8150F6316578DF6DEA662FF7FD","1970-01-01T01:00:00+01:00","TEXT","1","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:163205?SID=&actPage=&type=thumbnails","http://phaidra.univie.ac.at/","2023-11-02T14:13:52.644+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:163205?SID=&actPage=&type=thumbnails
  caused by:
Download failed of resource http://phaidra.univie.ac.at/detail_object/o:163205?SID=&actPage=&type=thumbnails. Status code 404 (message: Not Found)."
"9200151","https://metis.europeana.eu/dataset/edit/9200151","424","The European Library",,"/9200151/D8C2445050CE6DCF6FA4C664184B1503B47B2BC6","1970-01-01T01:00:00+01:00","TEXT","1","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:168254?SID=&actPage=&type=thumbnails","http://phaidra.univie.ac.at/","2023-11-02T14:15:55.626+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:168254?SID=&actPage=&type=thumbnails
  caused by:
Download failed of resource http://phaidra.univie.ac.at/detail_object/o:168254?SID=&actPage=&type=thumbnails. Status code 404 (message: Not Found)."
"9200154","https://metis.europeana.eu/dataset/edit/9200154","71","The European Library",,"/9200154/IOR_L_MIL_5_825_1","2014-05-08T15:21:20.734+02:00","TEXT","1","0","edm:isShownAt","http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=ior/l/mil/5/825/1","http://www.bl.uk/","2023-11-02T13:46:56.472+01:00","Problem while processing http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=ior/l/mil/5/825/1
  caused by:
Connect to http://www.bl.uk:80 [www.bl.uk/194.66.233.215] failed: Connect timed out"
"9200154","https://metis.europeana.eu/dataset/edit/9200154","71","The European Library",,"/9200154/IOR_V_27_281_33","2014-05-08T15:21:21.911+02:00","TEXT","0","0","edm:isShownAt","http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=ior/v/27/281/33","http://www.bl.uk/","2023-11-02T13:46:49.466+01:00","Problem while processing http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=ior/v/27/281/33
  caused by:
Connect to http://www.bl.uk:80 [www.bl.uk/194.66.233.215] failed: Connect timed out"
"9200170","https://metis.europeana.eu/dataset/edit/9200170","6716","The European Library",,"/9200170/653FE14848271AB69522C05209DD9E7AD8FD3AFD","2019-04-05T14:54:38.141+02:00","IMAGE","0","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:651","http://phaidra.univie.ac.at/","2023-11-02T14:09:41.365+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:651
  caused by:
Download failed of resource http://phaidra.univie.ac.at/detail_object/o:651. Status code 404 (message: Not Found)."
"9200170","https://metis.europeana.eu/dataset/edit/9200170","6716","The European Library",,"/9200170/94490E35C0414C608D7922F884010F5EBA48A8E4","2019-04-05T14:52:58.687+02:00","IMAGE","0","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:29202","http://phaidra.univie.ac.at/","2023-11-02T14:09:48.4+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:29202
  caused by:
Connect to https://phaidra.univie.ac.at:443 [phaidra.univie.ac.at/131.130.1.212] failed: Connect timed out"
"9200171","https://metis.europeana.eu/dataset/edit/9200171","5092","The European Library",,"/9200171/3AE75DD61DE4CED2F1B844198E8313B72FEF80D5","2019-04-05T14:57:29.936+02:00","IMAGE","0","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:229421","http://phaidra.univie.ac.at/","2023-11-02T13:58:30.948+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:229421
  caused by:
Download failed of resource http://phaidra.univie.ac.at/detail_object/o:229421. Status code 404 (message: Not Found)."
"9200171","https://metis.europeana.eu/dataset/edit/9200171","5092","The European Library",,"/9200171/6932F20434D4ECC3DF87B76B4ACC7EEE5274E292","2019-04-05T14:59:13.26+02:00","IMAGE","0","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:229805","http://phaidra.univie.ac.at/","2023-11-02T13:58:25.756+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:229805
  caused by:
Download failed of resource http://phaidra.univie.ac.at/detail_object/o:229805. Status code 404 (message: Not Found)."
"9200174","https://metis.europeana.eu/dataset/edit/9200174","192","The European Library",,"/9200174/o_176063","1970-01-01T01:00:00+01:00","TEXT","1","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:176063","http://phaidra.univie.ac.at/","2023-11-02T14:14:54.645+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:176063
  caused by:
Download failed of resource http://phaidra.univie.ac.at/detail_object/o:176063. Status code 404 (message: Not Found)."
"9200174","https://metis.europeana.eu/dataset/edit/9200174","192","The European Library",,"/9200174/o_226998","1970-01-01T01:00:00+01:00","TEXT","1","0","edm:isShownAt","http://phaidra.univie.ac.at/detail_object/o:226998","http://phaidra.univie.ac.at/","2023-11-02T14:14:49.485+01:00","Problem while processing http://phaidra.univie.ac.at/detail_object/o:226998
  caused by:
Connect to http://phaidra.univie.ac.at:80 [phaidra.univie.ac.at/131.130.1.212] failed: Connect timed out"
